SampleID,Location,Soil,Status,Planting,Breeding
376,Guizhou,Loam,Diseased,Intercropping,Unclear
377,Guizhou,Loam,Diseased,Intercropping,Unclear
378,Guizhou,Loam,Diseased,Intercropping,Unclear
379,Guizhou,Loam,Diseased,Intercropping,Unclear
380,Guizhou,Loam,Diseased,Monoculture,Qingshu9
381,Guizhou,Loam,Diseased,Monoculture,Qingshu9
382,Guizhou,Loam,Diseased,Monoculture,Qingshu9
383,Guizhou,Loam,Diseased,Monoculture,Qingshu9
384,Guizhou,Loam,Diseased,Monoculture,Qingshu9
385,Guizhou,Loam,Healthy,Intercropping,Weiyu5
386,Guizhou,Loam,Healthy,Intercropping,Weiyu5
387,Guizhou,Loam,Healthy,Intercropping,Weiyu5
388,Guizhou,Loam,Healthy,Intercropping,Weiyu5
389,Guizhou,Loam,Healthy,Intercropping,Weiyu5
390,Guizhou,Loam,Diseased,Monoculture,Weiyu3
391,Guizhou,Loam,Diseased,Monoculture,Weiyu3
392,Guizhou,Loam,Diseased,Monoculture,Weiyu3
393,Guizhou,Loam,Diseased,Monoculture,Weiyu3
394,Guizhou,Loam,Diseased,Monoculture,Weiyu3
395,Guizhou,Loam,Diseased,Monoculture,Weiyu3
396,Guizhou,Loam,Diseased,Monoculture,Weiyu3
397,Guizhou,Loam,Diseased,Monoculture,Weiyu3
398,Guizhou,Loam,Diseased,Monoculture,Weiyu3
399,Guizhou,Loam,Diseased,Monoculture,Weiyu3
400,Guizhou,Loam,Diseased,Monoculture,Weiyu5
401,Guizhou,Loam,Diseased,Monoculture,Weiyu5
402,Guizhou,Loam,Diseased,Monoculture,Weiyu5
403,Guizhou,Loam,Diseased,Monoculture,Weiyu5
404,Guizhou,Loam,Diseased,Monoculture,Weiyu5
405,Guizhou,Loam,Diseased,Monoculture,Qingshu9
406,Guizhou,Loam,Diseased,Monoculture,Qingshu9
407,Guizhou,Loam,Diseased,Monoculture,Qingshu9
408,Guizhou,Loam,Diseased,Monoculture,Qingshu9
409,Guizhou,Loam,Diseased,Monoculture,Qingshu9
410,Guizhou,Loam,Diseased,Monoculture,Weiyu5
411,Guizhou,Loam,Diseased,Monoculture,Weiyu5
412,Guizhou,Loam,Diseased,Monoculture,Weiyu5
413,Guizhou,Loam,Diseased,Monoculture,Weiyu5
414,Guizhou,Loam,Diseased,Monoculture,Weiyu5
415,Guizhou,Loam,Diseased,Intercropping,Weiyu5
416,Guizhou,Loam,Diseased,Intercropping,Weiyu5
417,Guizhou,Loam,Diseased,Intercropping,Weiyu5
418,Guizhou,Loam,Diseased,Intercropping,Weiyu5
419,Guizhou,Loam,Diseased,Intercropping,Weiyu5
420,Guizhou,Loam,Diseased,Monoculture,Weiyu5
421,Guizhou,Loam,Diseased,Monoculture,Weiyu5
422,Guizhou,Loam,Diseased,Monoculture,Weiyu5
